Company,Industry,Short Description (< 5 words),Title,Technology,Tag,Year,Link
Nubank,Fintech and banking,Represent transactional user behavior,Optimizing User Narratives for Foundation Models,Predictive ML,data analytics,2025,https://building.nubank.com/optimizing-user-narratives-for-foundation-models/
Nubank,Fintech and banking,Build RAG-based internal chatbot,AskNu: A RAG solution to increase Employees Productivity at Nubank,RAG,chatbot,2025,https://building.nubank.com/ai-solution-for-search/
Nubank,Fintech and banking,Detect fraud at scale,Practices to scale Machine Learning operations,Predictive ML,"ops,fraud detection",2025,https://building.nubank.com/practices-to-scale-machine-learning-operations/
Linkedin,Social platforms,Job recommendations with fine-tuned LLMs,JUDE: LLM-based representation learning for LinkedIn job recommendations,Generative AI & LLM,"recommender system,HR tasks",2025,https://www.linkedin.com/blog/engineering/ai/jude-llm-based-representation-learning-for-linkedin-job-recommendations
Linkedin,Social platforms,AI-powered job search,Building the next generation of job search at LinkedIn,Generative AI & LLM,"search,HR tasks",2025,https://www.linkedin.com/blog/engineering/ai/building-the-next-generation-of-job-search-at-linkedin
Linkedin,Social platforms,Improve prompt engineering process,Building collaborative prompt engineering playgrounds using Jupyter Notebook,Generative AI & LLM,ops,2025,https://www.linkedin.com/blog/engineering/product-design/building-collaborative-prompt-engineering-playgrounds-using-jupyter-notebook
Binance,Fintech and banking,Automate rule creation for fraud detection,Strategy Factory: Binance’s AI-Powered Rule Engine for Risk and Fraud Detection,Predictive ML,"ops,fraud detection",2025,https://www.binance.com/en/blog/tech/4582519158590222265
Mercado Libre,E-commerce and retail,Derive insights from financial transactions,The New Financial Babel: Teaching AI to Speak Money in LATAM,Generative AI & LLM,data analytics,2025,https://medium.com/mercadolibre-tech/la-nueva-babel-financiera-ense%C3%B1ar-a-la-ia-a-hablar-dinero-en-latinoam%C3%A9rica-4605235e3aac
Mercado Libre,E-commerce and retail,Automate the loan selection process,The billion-dollar puzzle: Optimizing collateral allocation management with AI,Generative AI & LLM,lead scoring,2025,https://medium.com/mercadolibre-tech/the-billion-dollar-puzzle-optimizing-collateral-allocation-management-with-ai-87cb5e6cf975
Mercado Libre,E-commerce and retail,How Mercado Libre uses AI,Tale of a Prompt Development,Generative AI & LLM,ops,2025,https://medium.com/mercadolibre-tech/tale-of-a-prompt-development-c133081bca1e
Airbnb,"Travel,E-commerce and retail",Speech recognition for customer support,"Listening, Learning, and Helping at Scale: How Machine Learning Transforms Airbnb’s Voice Support Experience",Generative AI & LLM,voice interface,2025,https://medium.com/airbnb-engineering/listening-learning-and-helping-at-scale-how-machine-learning-transforms-airbnbs-voice-support-b71f912d4760
Airbnb,"Travel,E-commerce and retail",Improve search with Embedding-Based Retrieval,Embedding-Based Retrieval for Airbnb Search,Predictive ML,search,2025,https://medium.com/airbnb-engineering/embedding-based-retrieval-for-airbnb-search-aabebfc85839
Airbnb,"Travel,E-commerce and retail",Accelerate code migration,Accelerating Large-Scale Test Migration with LLMs,Generative AI & LLM,code generation / review,2025,https://medium.com/airbnb-engineering/accelerating-large-scale-test-migration-with-llms-9565c208023b
Glassdoor,Social platforms,Recommend relevant content,Inside Glassdoor’s Multi-Stage Recommendation System,Predictive ML,recommender system,2025,https://medium.com/glassdoor-engineering/inside-glassdoors-multi-stage-recommendation-system-cee58b52a75a
Canva,Tech,Create personalized ad campaigns,Behind the scenes of Canva's DesignDNA campaign,Generative AI & LLM,content personalization,2025,https://www.canva.dev/blog/engineering/behind-the-scenes-of-canvas-designdna-campaign/
Canva,Tech,Find and replace similar images,Image replacement in Canva designs using reverse image search,CV,search,2025,https://www.canva.dev/blog/engineering/image-replacement-in-canva-designs-using-reverse-image-search/
Salesforce,Tech,Text-to-SQL AI agent,How We Built a Text-To-SQL AI Agent to Get Instant Answers From Our Data,AI agents,data analytics,2025,https://www.salesforce.com/blog/text-to-sql-agent/
Canva,Tech,Improve search for private designs,How to improve search without looking at queries or results,Generative AI & LLM,search,2025,https://www.canva.dev/blog/engineering/how-to-improve-search-without-looking-at-queries-or-results/
Criteo,Tech,Deliver personalized ads in real-time,Improving Consistency Models with Generator-Augmented Flows,Predictive ML,"ad ranking / targeting,content personalization",2025,https://medium.com/criteo-engineering/improving-consistency-models-with-generator-augmented-flows-abc2ae135506
Meta,Social platforms,Generate code tests,Revolutionizing software testing: Introducing LLM-powered bug catchers,Generative AI & LLM,code generation / review,2025,https://engineering.fb.com/2025/02/05/security/revolutionizing-software-testing-llm-powered-bug-catchers-meta-ach/
Yelp,Social platforms,Enhance search query understanding ,Search Query Understanding with LLMs: From Ideation to Production,Generative AI & LLM,search,2025,https://engineeringblog.yelp.com/2025/02/search-query-understanding-with-LLMs.html
Netflix,Media and streaming,Detect video quality issues ,Accelerating Video Quality Control at Netflix with Pixel Error Detection,Predictive ML,ops,2025,https://netflixtechblog.com/accelerating-video-quality-control-at-netflix-with-pixel-error-detection-47ef7af7ca2e
Github,Tech,Evaluate AI models for your use case,How we evaluate AI models and LLMs for GitHub Copilot,Generative AI & LLM,ops,2025,https://github.blog/ai-and-ml/generative-ai/how-we-evaluate-models-for-github-copilot/
Duolingo,Tech,Generate content for courses,Using generative AI to scale DuoRadio 10x faster,Generative AI & LLM,content personalization,2025,https://blog.duolingo.com/scaling-duoradio/
Manus,Tech,Build an AI agent,Context Engineering for AI Agents: Lessons from Building Manus,AI agents,ops,2025,https://manus.im/blog/Context-Engineering-for-AI-Agents-Lessons-from-Building-Manus
Square,Fintech and banking,Automatically categorize entities,RoBERTa Model for Merchant Categorization at Square,Generative AI & LLM,item classification,2025,https://developer.squareup.com/blog/roberta-model-for-merchant-categorization-at-square/
Intuit,Tech,Improve document management,Revolutionizing Knowledge Discovery with GenAI to Transform Document Management,Generative AI & LLM,data analytics,2025,https://medium.com/intuit-engineering/revolutionizing-knowledge-discovery-with-genai-to-transform-document-management-0cdf4385c11c
Netflix,Media and streaming,Recommend relevant video content,Foundation Model for Personalized Recommendation,Generative AI & LLM,recommender system,2025,https://netflixtechblog.medium.com/foundation-model-for-personalized-recommendation-1a0bd8e02d39
ManoMano,E-commerce and retail,Improve compatibility in DIY product recommendations,Compatibility Challenges in Recommendation System,Predictive ML,recommender system,2025,https://medium.com/manomano-tech/compatibility-challenges-in-recommendation-system-4d233c676d35
Zillow,E-commerce and retail,Improve search with Knowledge Graphs,Leveraging Knowledge Graphs in Real Estate Search,Predictive ML,search,2025,https://www.zillow.com/tech/leveraging-knowledge-graphs-in-real-estate-search/
Pinterest,Social platforms,Improve search relevance,Improving Pinterest Search Relevance Using Large Language Models,Generative AI & LLM,search,2025,https://medium.com/pinterest-engineering/improving-pinterest-search-relevance-using-large-language-models-4cd938d4e892
Pinterest,Social platforms,Recommend holiday gifts,Building Holiday Finds: How Pinterest Engineers Reimagined Gift Discovery,Predictive ML,"recommender system,product feature",2025,https://medium.com/pinterest-engineering/building-holiday-finds-how-pinterest-engineers-reimagined-gift-discovery-0a48a0c8bfd8
Pinterest,Social platforms,Recommend relevant content for home feed,Module Relevance on Home Feed,Predictive ML,"recommender system,product feature",2025,https://medium.com/pinterest-engineering/module-relevance-on-homefeed-ae76f8b545b2
Uber,Delivery and mobility,Detect and repair resource leaks,Fixrleak: Fixing Java Resource Leaks with GenAI,Generative AI & LLM,software ops,2025,https://www.uber.com/en-GB/blog/fixrleak-fixing-java-resource-leaks-with-genai/
Whatnot,E-commerce and retail,Improve real-time feed recommendations ,Evolving Feed Ranking at Whatnot,Predictive ML,recommender system,2025,https://medium.com/whatnot-engineering/evolving-feed-ranking-at-whatnot-25adb116aeb6
Wayfair,E-commerce and retail,Draft messages for customer support agents,"The Evolution of Wilma, Wayfair’s Customer Service Agent Copilot",Generative AI & LLM,customer support,2025,https://www.aboutwayfair.com/careers/tech-blog/the-evolution-of-wilma-wayfairs-customer-service-agent-copilot
Doordash,Delivery and mobility,Auto-evaluate search quality,How DoorDash leverages LLMs to evaluate search result pages,Generative AI & LLM,search,2025,https://careersatdoordash.com/blog/doordash-llms-to-evaluate-search-result-pages
Ebay,E-commerce and retail,Adapting LLMs for e-commerce,Scaling Large Language Models for e-Commerce: The Development of a Llama-Based Customized LLM,Generative AI & LLM,ops,2025,https://innovation.ebayinc.com/stories/scaling-large-language-models-for-e-commerce-the-development-of-a-llama-based-customized-llm-for-e-commerce/
Shopify,E-commerce and retail,Classify e-commerce products ,Evolution of Product Classification at Shopify: From Categories to Comprehensive Product Understanding,Predictive ML,item classification,2025,https://shopify.engineering/evolution-product-classification
Lyft,Delivery and mobility,Forecast market conditions,Real-Time Spatial Temporal Forecasting @ Lyft,Predictive ML,"demand forecasting,pricing",2025,https://eng.lyft.com/real-time-spatial-temporal-forecasting-lyft-fa90b3f3ec24
Uber,Delivery and mobility,Automatically process documents,Advancing Invoice Document Processing at Uber using GenAI,Generative AI & LLM,ops,2025,https://www.uber.com/en-IN/blog/advancing-invoice-document-processing-using-genai/
Slack,Tech,Enterprise search,How we built enterprise search to be secure and private,RAG,search,2025,https://slack.engineering/how-we-built-enterprise-search-to-be-secure-and-private/
Snap,Social platforms,Review ads at scale,Snap Ads Understanding: From Pixels to Words,Predictive ML,spam / content moderation,2025,https://eng.snap.com/snap-ads-understanding
Netflix,Media and streaming,Predict user intent,FM-Intent: Predicting User Session Intent with Hierarchical Multi-Task Learning,Generative AI & LLM,recommender system,2025,https://netflixtechblog.com/fm-intent-predicting-user-session-intent-with-hierarchical-multi-task-learning-94c75e18f4b8
Expedia,"Travel,E-commerce and retail",Personalized hotel search,Contextual Property Embeddings for Corse-grained Personalization,Predictive ML,search,2025,https://medium.com/expedia-group-tech/contextual-property-embeddings-for-corse-grained-personalization-c56e9cda44a5
Stripe,Fintech and banking,Find the right taxing jurisdiction,How we built it: Jurisdiction resolution for Stripe Tax,Predictive ML,product feature,2025,https://stripe.com/blog/how-we-built-it-jurisdiction-resolution-for-stripe-tax
Netflix,Media and streaming,Foundation model for content recommendation,Foundation Model for Personalized Recommendation,Generative AI & LLM,recommender system,2025,https://netflixtechblog.com/foundation-model-for-personalized-recommendation-1a0bd8e02d39
Pinterest,Social platforms,Improve home feed recommendations,Modernizing Home Feed Pre-Ranking Stage,Predictive ML,recommender system,2025,https://medium.com/pinterest-engineering/modernizing-home-feed-pre-ranking-stage-e636c9cdc36b
Ebay,E-commerce and retail,Enhance personalized e-commerce recommendations,Mercury: Agentic AI Platform for LLM Powered Recommendation Experiences at eBay,AI agents,recommender system,2025,https://www.linkedin.com/pulse/mercury-agentic-ai-platform-llm-powered-experiences-ebay-chowdhury-kka8e/
Uber,Delivery and mobility,Improve chatbot's answer quality,Enhanced Agentic-RAG: What If Chatbots Could Deliver Near-Human Precision?,AI agents,chatbot,2025,https://www.uber.com/en-GB/blog/enhanced-agentic-rag
DeepL,Tech,Increase throughput when training LLMs,How we built DeepL’s next-generation LLMs with FP8 for training and inference,Generative AI & LLM,ops,2025,https://www.deepl.com/en/blog/tech/next-generation-llm-fp8-training
Meta,Social platforms,Analyze customer feedback,Harnessing the Power of Customer Feedback: Unleashing Meta’s Llama 4 LLMs in Product Analytics,Generative AI & LLM,customer support,2025,https://medium.com/@AnalyticsAtMeta/harnessing-the-power-of-customer-feedback-unleashing-metas-llama-4-llms-in-product-analytics-2d3a9cfd5805
Meta,Social platforms,Analyze user-filed bug reports,How Facebook leverages Large Language Models to understand user bug reports and guide fundamental improvements,Generative AI & LLM,customer support,2025,https://medium.com/@AnalyticsAtMeta/how-facebook-leverages-large-language-models-to-understand-user-bug-reports-and-guide-fundamental-70ab26475850
Booking,"Travel,E-commerce and retail",Enrich recommendation data,Unlocking the Power of Customization: How Our Enrichment System Transforms Recommendation Data Enrichments,Predictive ML,"ops,recommender system",2025,https://medium.com/booking-com-development/unlocking-the-power-of-customization-how-our-enrichment-system-transforms-recommendation-data-e71832fc4ef4
Intuit,Tech,Coding assistant for developer productivity,A Platform-centric Approach to AI-assisted Code Generation at Intuit,Generative AI & LLM,code generation / review,2025,https://medium.com/intuit-engineering/a-platform-centric-approach-to-ai-assisted-code-generation-at-intuit-03984a85558e
Uber,Delivery and mobility,Forecast demand for taxi rides,Reinforcement Learning for Modeling Marketplace Balance,Predictive ML,demand forecasting,2025,https://www.uber.com/en-IN/blog/reinforcement-learning-for-modeling-marketplace-balance/
Uber,Delivery and mobility,Transforms natural language into structured data,Unlocking Financial Insights with Finch: Uber’s Conversational AI Data Agent,AI agents,"ops,data analytics",2025,https://www.uber.com/en-IN/blog/unlocking-financial-insights-with-finch/
Wise,Fintech and banking,Finthech's tech stack review,Wise Tech Stack (2025 update),Predictive ML,ops,2025,https://medium.com/wise-engineering/wise-tech-stack-2025-update-d0e63fe718c7
Shopify,E-commerce and retail,Unify and structure product data,Leveraging Multimodal LLMs for Shopify’s Global Catalogue,Generative AI & LLM,item classification,2025,https://shopify.engineering/leveraging-multimodal-llms
Dropbox,Tech,Improve knowledge access,Building Dash: How RAG and AI agents help us meet the needs of businesses,AI agents,search,2025,https://dropbox.tech/machine-learning/building-dash-rag-multi-step-ai-agents-business-users
Picnic,Delivery and mobility,Spot issues before delivering items to a customer,Adding Eyes to Picnic’s Automated Warehouses,CV,ops,2025,https://blog.picnic.nl/adding-eyes-to-picnics-automated-warehouses-8b6c70613e2f
Dropbox,Tech,Improve multimedia search,How we brought multimedia search to Dropbox Dash,RAG,search,2025,https://dropbox.tech/infrastructure/multimedia-search-dropbox-dash-evolution
Ebay,E-commerce and retail,Generate images for e-commerce,Enhancing eBay’s Visual Shopping Experience With Automated Image Generation And Optimization For Themes and Categories,Generative AI & LLM,ops,2025,https://www.linkedin.com/pulse/enhancing-ebays-visual-shopping-experience-automated-image-galsurkar-9pgle/
Anthropic,Tech,Multi-agent system for research,How we built our multi-agent research system,AI agents,search,2025,https://www.anthropic.com/engineering/multi-agent-research-system
Netguru,Tech,AI sales agent,From Slack Bot to Sales Brain: How We Built Our AI Agent,AI agents,ops,2025,https://www.netguru.com/blog/how-we-built-an-ai-agent
Picnic,Delivery and mobility,Personalized recipe recommendations,Solving the weekly menu puzzle pt.2: recommendations at Picnic,Predictive ML,"recommender system,content personalization",2025,https://blog.picnic.nl/solving-the-weekly-menu-puzzle-pt-2-recommendations-at-picnic-b48a4c434159
Trivago,"Travel,E-commerce and retail",Price comparison at scale,How we aggregate 70 billion prices to show price context to our users,Predictive ML,pricing,2025,https://tech.trivago.com/post/2025-02-13-how-we-aggregate-70-billion-prices-to-show-price-context-to-our-users
Uber,Delivery and mobility,Give automatic code review,"uReview: Scalable, Trustworthy GenAI for Code Review at Uber",Generative AI & LLM,code generation / review,2025,https://www.uber.com/en-IN/blog/ureview/
Uber,Delivery and mobility,Detect antipatterns in software,PerfInsights: Detecting Performance Optimization Opportunities in Go Code using Generative AI,Generative AI & LLM,code generation / review,2025,https://www.uber.com/en-IN/blog/perfinsights/
Uber,Delivery and mobility,Optimize personalized CRM communications,Enhancing Personalized CRM Communication with Contextual Bandit Strategies,Predictive ML,content personalization,2025,https://www.uber.com/en-IN/blog/enhancing-personalized-crm/
Zillow,E-commerce and retail,Improve real estate support,Revolutionizing the Real Estate Experience with LLMs: StreetEasy’s AI Journey,Generative AI & LLM,product feature,2025,https://www.zillow.com/tech/revolutionizing-the-real-estate-experience-with-llms-streeteasys-ai-journey/
Airtable,Tech,AI agent for content creation,How we built AI agents at Airtable,AI agents,product feature,2025,https://medium.com/airtable-eng/how-we-built-ai-agents-at-airtable-70838d73cc43
Ramp,Fintech and banking,Automate expense management with AI agents,How To Build Agents Users Can Trust,AI agents,product feature,2025,https://engineering.ramp.com/post/how-to-build-agents-users-can-trust
Ramp,Fintech and banking,Automatically match transactions to merchants,How Ramp Fixes Merchant Matches with AI,AI agents,product feature,2025,https://engineering.ramp.com/post/fixing-merchant-classifications-with-ai
Ramp,Fintech and banking,Better classify customers,From RAG to Richness: How Ramp Revamped Industry Classification,RAG,"item classification,ops",2025,https://engineering.ramp.com/industry_classification
Swiggy,Delivery and mobility,Detect branded gear on delivery executives,Enhancing Brand Visibility and Trust with On device ML models: A Journey at Swiggy,CV,ops,2025,https://bytes.swiggy.com/enhancing-brand-visibility-and-trust-with-on-device-ml-models-a-journey-at-swiggy-e3e626f96c52
Pinterest,Social platforms,Generate diverse and engaging homefeed,Advancements in Embedding-Based Retrieval at Pinterest Homefeed,Predictive ML,recommender system,2025,https://medium.com/pinterest-engineering/advancements-in-embedding-based-retrieval-at-pinterest-homefeed-d7d7971a409e
Pinterest,Social platforms,Personalize ads in real-time,Unlocking Efficient Ad Retrieval: Offline Approximate Nearest Neighbors in Pinterest Ads,Predictive ML,ad ranking / targeting,2025,https://medium.com/pinterest-engineering/unlocking-efficient-ad-retrieval-offline-approximate-nearest-neighbors-in-pinterest-ads-6fccc131ac14
Grammarly,Tech,On-device writing assistant,One Model to Rule Them All: Our Path to Efficient On-Device Writing Assistance,Generative AI & LLM,product feature,2025,https://www.grammarly.com/blog/engineering/efficient-on-device-writing-assistance/
Microsoft,Tech,AI-powered code review assistant,Enhancing Code Quality at Scale with AI-Powered Code Reviews,Generative AI & LLM,code generation / review,2025,https://devblogs.microsoft.com/engineering-at-microsoft/enhancing-code-quality-at-scale-with-ai-powered-code-reviews/
GetYourGuide,"Travel,E-commerce and retail",Speed up the onboarding process,"Revolutionizing the Experience
Marketplace: The dual impact of
Generative AI on Suppliers and
Consumers",Generative AI & LLM,product feature,2025,https://www.getyourguide.careers/posts/revolutionizing-the-experience-marketplace-the-dual-impact-of-generative-ai-on-suppliers-and-consumers
Wix,Tech,Improve customer care routing,AI for Customer Care Routing at Wix - Making The First Step of Reinforcement Learning,Predictive ML,"ops,customer support",2025,https://www.wix.engineering/post/ai-for-customer-care-routing-at-wix-making-the-first-step-of-reinforcement-learning
Grab,Delivery and mobility,Better understand user preferences,User foundation models for Grab,Generative AI & LLM,"recommender system,content personalization",2025,https://engineering.grab.com/user-foundation-models-for-grab
Wayfair,E-commerce and retail,Better understand customer interests,Smarter Shopping Starts Here — How AI Understands What You’re Looking For,Generative AI & LLM,content personalization,2025,https://www.aboutwayfair.com/careers/tech-blog/smarter-shopping-starts-here-how-ai-understands-what-youre-looking-for
GoDaddy,Tech,Synthetic data generation,Building a Synthetic Data Generator,Generative AI & LLM,data analytics,2025,https://www.godaddy.com/resources/news/building-a-synthetic-data-generator
Airtable,Tech,AI agent for research,How we built a high quality Q&A assistant,AI agents,search,2025,https://medium.com/airtable-eng/how-we-built-a-high-quality-q-a-assistant-738ae9efeb7a
Roblox,Gaming,Moderate content in real time,How Roblox Uses AI to Moderate Content on a Massive Scale,Generative AI & LLM,spam / content moderation,2025,https://corp.roblox.com/newsroom/2025/07/roblox-ai-moderation-massive-scale
Feedzai,Fintech and banking,Detect financial fraud,Benchmarking LLMs in Real-World Applications: Pitfalls and Surprises,Generative AI & LLM,fraud detection,2025,https://medium.com/feedzaitech/benchmarking-llms-in-real-world-applications-pitfalls-and-surprises-78e720d3bfa1
Picnic,Delivery and mobility,Spot issues before delivering items to a customer,Adding Eyes to Picnic’s Automated Warehouses Part 2,CV,ops,2025,https://blog.picnic.nl/adding-eyes-to-picnics-automated-warehouses-part-2-b283dd7f7de6
Target,E-commerce and retail,Recommend related accessories,Improving Accessory Recommendations with LLMs at Target,Generative AI & LLM,recommender system,2025,https://tech.target.com/blog/accessory-recommendations-with-llms
Salesforce,Tech,Build agentic enterprise,5 Lessons We Learned Building the World’s First Agentic Enterprise,AI agents,ops,2025,https://www.salesforce.com/blog/5-lessons-salesforce-agentic-enterprise/
Agoda,"Travel,E-commerce and retail",Build production-grade AI apps,A Retrospective: Agoda’s GenAI Journey Thus Far,Generative AI & LLM,software ops,2025,https://medium.com/agoda-engineering/a-retrospective-agodas-genai-journey-thus-far-b0739683d53e
Feedzai,Fintech and banking,Detect financial fraud,Feedzai TrustScore: Enabling Network Intelligence to Fight Financial Crime,Generative AI & LLM,fraud detection,2025,https://medium.com/feedzaitech/feedzai-trustscore-enabling-network-intelligence-to-fight-financial-crime-9ce7fcff84fb
Hubspot,Tech,Score CRM objects,Behind HubSpot AI: How Does Prediction Engine Score Millions of CRM Objects Daily?,Predictive ML,ops,2025,https://product.hubspot.com/blog/behind-hubspot-ai-how-does-prediction-engine-score-millions-of-crm-objects-daily
Flipkart,E-commerce and retail,Generate summaries of product reviews,One Prompt To Rule Them All: LLMs For Opinion Summary Evaluation,Generative AI & LLM,product feature,2025,https://blog.flipkart.tech/one-prompt-to-rule-them-all-llms-for-opinion-summary-evaluation-d5dd4eb6f225
Cognition AI,Tech,AI agent for software development,The Making of Devin,AI agents,code generation / review,2025,https://www.youtube.com/watch?v=T7NWjoD_OuY
Flipkart,E-commerce and retail,Place relevant ads ,The Science of Unified Ranking: Integrating Ads and Organic Recommendations,Predictive ML,"recommender system,ad ranking / targeting",2025,https://blog.flipkart.tech/the-science-of-unified-ranking-integrating-ads-and-organic-recommendations-8cc24113ef21
Uber,Delivery and mobility,Build semantic search at scale ,Evolution and Scale of Uber’s Delivery Search Platform,Generative AI & LLM,search,2025,https://www.uber.com/en-GB/blog/evolution-and-scale-of-ubers-delivery-search-platform/?uclick_id=0a73d271-32e7-4b77-9697-a587a4c8d9fe
Tellius,Tech,Natural language questions to SQL,10 Battle Scars from Building Agentic AI Analytics,AI agents,data analytics,2025,https://www.tellius.com/resources/blog/10-battle-scars-from-building-agentic-ai-analytics
Duolingo,Tech,Automate software engineering tasks,Building an AI Agent to Remove Feature Flags,AI agents,software ops,2025,https://blog.duolingo.com/buildingaiagents/
OpenAI,Tech,Contract review agent,Turning contracts into searchable data at OpenAI,AI agents,data analytics,2025,https://openai.com/index/openai-contract-data-agent/
Adyen,Fintech and banking,Optimize payment transactions,The AI behind Uplift,Predictive ML,ops,2025,https://www.adyen.com/knowledge-hub/the-ai-behind-uplift
Uber,Delivery and mobility,Optimize code,PerfInsights: Detecting Performance Optimization Opportunities in Go Code using Generative AI,Generative AI & LLM,code generation / review,2025,https://www.uber.com/en-GB/blog/perfinsights/?uclick_id=0a73d271-32e7-4b77-9697-a587a4c8d9fe
Agoda,"Travel,E-commerce and retail",Resolve security incidents faster,Improving Security Incident Response at Agoda with Large Language Models,Generative AI & LLM,software ops,2025,https://medium.com/agoda-engineering/improving-security-incident-response-at-agoda-with-large-language-models-78b1f33151e0
Faire,E-commerce and retail,Scale engineering workflows,Swarm-coding: agentic development with multiple background agents,AI agents,code generation / review,2025,https://craft.faire.com/swarm-coding-agentic-development-with-multiple-background-agents-3549adc7460d
Prosus,Tech,Internal company chatbot,Harnessing Generative AI for collective discovery: lessons from two years of deployment at scale,Generative AI & LLM,chatbot,2025,https://medium.com/prosus-ai-tech-blog/harnessing-generative-ai-for-collective-discovery-lessons-from-two-years-of-deployment-at-scale-5792d6e46cac
Uber,Delivery and mobility,Internal on-call copilot,Enhanced Agentic-RAG: What If Chatbots Could Deliver Near-Human Precision?,RAG,"chatbot,customer support",2025,https://www.uber.com/en-GB/blog/enhanced-agentic-rag/
Doordash,Delivery and mobility,Improve recommendation relevance across categories,Mind the Gap: Using LLMs to bridge behavioral silos in multi-vertical recommendations,Generative AI & LLM,recommender system,2025,https://careersatdoordash.com/blog/doordash-llms-bridge-behavioral-silos-in-multi-vertical-recommendations/
Navismart AI,Tech,AI agent for immigration workflows,Deploying AI for Immigration at Scale,AI agents,product feature,2025,https://www.youtube.com/watch?v=PmKbAiDwrwU
OpenAI,Tech,Sales reps AI assistant,Driving sales productivity and customer success at OpenAI,Generative AI & LLM,chatbot,2025,https://openai.com/index/openai-gtm-assistant/
